Employee ID,Age,Attrition,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome
140,30,0,Travel_Rarely,Human Resources,Human Resources,3,Male,3,2,4,Married,6347,Yes,12,1,11,9,4,7,9
141,32,1,Travel_Rarely,Research & Development,Medical,1,Female,3,1,1,Single,4200,No,10,4,5,4,0,4,9
142,45,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Single,3452,No,9,2,6,5,0,3,29
143,38,0,Travel_Rarely,Research & Development,Technical Degree,4,Female,3,2,3,Single,4317,Yes,19,3,3,2,2,2,3
144,30,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,1,3,Single,2632,No,5,2,5,4,0,4,18
145,32,0,Travel_Frequently,Sales,Medical,4,Male,1,2,4,Divorced,4668,No,9,4,8,7,0,7,9
146,30,0,Travel_Rarely,Research & Development,Technical Degree,4,Female,3,1,1,Divorced,3204,No,8,3,3,2,2,2,5
147,30,0,Travel_Rarely,Research & Development,Medical,2,Male,2,1,4,Single,2720,No,6,3,5,3,1,2,2
148,41,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,2,4,1,Divorced,17181,No,21,2,7,6,7,7,10
149,41,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,1,Married,2238,No,7,3,5,0,1,4,9
150,19,0,Travel_Rarely,Research & Development,Medical,2,Female,3,1,2,Single,1483,No,1,3,1,0,0,0,3
151,40,0,Travel_Frequently,Research & Development,Medical,2,Female,3,2,2,Divorced,5605,No,20,3,20,7,2,13,26
152,35,0,Travel_Rarely,Sales,Marketing,3,Male,3,3,2,Married,7295,No,10,3,10,8,0,6,1
153,53,0,Travel_Rarely,Sales,Marketing,2,Male,3,2,3,Married,2306,Yes,13,1,7,7,4,5,6
154,45,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,2,2,Divorced,2348,No,20,1,17,9,0,15,9
155,32,0,Travel_Frequently,Sales,Marketing,2,Female,3,3,4,Single,8998,No,9,3,9,8,3,7,8
156,29,0,Non-Travel,Research & Development,Technical Degree,4,Male,3,2,3,Married,4319,No,10,3,10,7,0,9,1
157,51,0,Travel_Rarely,Research & Development,Medical,2,Male,2,2,3,Married,6132,No,10,3,1,0,0,0,7
158,58,0,Travel_Rarely,Research & Development,Medical,2,Female,2,1,2,Married,3346,Yes,9,2,1,0,0,0,9
159,40,0,Travel_Rarely,Sales,Marketing,3,Male,2,3,4,Married,10855,No,15,2,12,11,2,11,4
160,34,0,Travel_Frequently,Sales,Marketing,3,Female,3,1,3,Married,2231,No,6,3,4,3,1,2,2
161,22,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Married,2323,No,2,3,2,2,2,2,19
162,27,0,Non-Travel,Research & Development,Medical,4,Male,3,1,2,Divorced,2024,No,6,1,2,2,2,2,9
163,28,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Married,2713,No,5,1,5,2,0,2,21
164,57,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,4,3,4,Divorced,9439,Yes,12,1,5,3,1,4,24
165,27,0,Non-Travel,Research & Development,Medical,3,Male,2,1,3,Divorced,2566,Yes,1,2,1,1,0,1,3
166,50,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,5,2,Single,19926,No,21,3,5,4,4,4,11
167,41,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,1,3,Divorced,2451,No,13,3,9,8,1,8,14
168,30,0,Travel_Rarely,Sales,Life Sciences,2,Female,3,3,4,Married,9419,No,12,3,10,9,7,4,5
169,38,0,Travel_Rarely,Sales,Life Sciences,1,Female,2,2,4,Single,8686,No,12,4,8,3,0,7,1
170,32,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,3,Single,3038,No,8,3,5,4,1,4,6
171,27,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,2,Married,3058,Yes,6,2,5,2,1,1,17
172,19,1,Travel_Frequently,Sales,Technical Degree,3,Female,1,1,1,Single,2325,No,1,4,0,0,0,0,1
173,36,0,Travel_Frequently,Research & Development,Medical,4,Male,3,1,2,Single,2088,No,13,2,8,7,7,2,3
174,30,0,Non-Travel,Research & Development,Medical,3,Male,3,2,1,Divorced,3072,No,12,3,12,9,6,10,9
175,45,0,Travel_Rarely,Sales,Life Sciences,3,Female,3,2,1,Divorced,5006,Yes,9,4,5,4,0,3,4
176,56,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,1,1,Divorced,4257,Yes,19,3,2,2,2,2,8
177,33,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,4,Single,2500,No,4,4,3,1,0,2,2
178,19,1,Travel_Rarely,Research & Development,Life Sciences,2,Male,2,1,4,Single,1102,No,1,2,1,0,1,0,2
179,46,0,Travel_Rarely,Sales,Marketing,2,Female,3,3,1,Divorced,10453,No,24,3,24,13,15,7,1
180,38,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,1,4,Single,2288,No,2,3,2,2,2,1,9
181,31,0,Travel_Rarely,Research & Development,Medical,3,Female,3,1,4,Married,3929,Yes,7,3,4,2,0,2,12
182,34,0,Travel_Rarely,Research & Development,Medical,4,Female,3,1,2,Single,2311,No,9,3,3,2,1,2,27
183,41,1,Travel_Rarely,Sales,Marketing,2,Female,3,1,2,Single,3140,Yes,4,2,4,3,0,2,20
184,50,0,Travel_Rarely,Research & Development,Medical,3,Male,2,1,3,Married,3690,No,5,2,3,2,0,2,1
185,53,0,Travel_Rarely,Research & Development,Medical,4,Female,4,2,1,Divorced,4450,No,5,3,4,2,1,3,13
186,33,0,Travel_Rarely,Research & Development,Medical,4,Female,3,1,2,Married,2756,No,8,3,8,7,1,6,14
187,40,0,Travel_Rarely,Research & Development,Medical,4,Female,3,5,3,Married,19033,No,21,3,20,8,9,9,4
188,55,0,Travel_Rarely,Research & Development,Medical,3,Male,4,5,2,Single,18722,No,36,3,24,15,2,15,14
189,34,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,2,2,3,Married,9547,No,10,2,10,9,1,9,2
190,51,0,Travel_Rarely,Research & Development,Medical,4,Female,3,4,2,Single,13734,No,21,3,7,7,1,0,3
191,52,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,5,3,Married,19999,No,34,3,33,18,11,9,1
192,27,0,Travel_Rarely,Research & Development,Medical,4,Female,3,1,2,Single,2279,No,7,2,7,7,0,3,9
193,35,1,Travel_Rarely,Research & Development,Life Sciences,2,Male,2,2,3,Married,5916,Yes,8,3,1,0,0,1,23
194,43,0,Non-Travel,Research & Development,Medical,4,Male,4,1,4,Divorced,2089,No,7,4,5,4,2,2,7
195,45,0,Non-Travel,Research & Development,Medical,1,Male,2,4,4,Married,16792,No,22,3,20,8,11,8,2
196,37,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,4,1,1,Married,3564,Yes,8,2,8,7,1,7,21
197,35,0,Travel_Frequently,Research & Development,Medical,2,Female,3,2,2,Single,4425,No,10,3,6,2,1,2,2
198,42,0,Non-Travel,Research & Development,Medical,3,Female,3,2,3,Divorced,5265,No,11,3,5,3,0,2,21
199,38,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,2,3,Married,6553,No,14,3,1,0,0,0,2
200,38,0,Travel_Rarely,Research & Development,Technical Degree,4,Male,3,2,4,Married,6261,No,9,1,7,7,1,7,29
201,27,0,Travel_Frequently,Research & Development,Technical Degree,3,Male,2,2,1,Married,4298,No,6,3,2,2,2,0,1
202,49,0,Non-Travel,Research & Development,Life Sciences,4,Male,3,2,4,Divorced,6804,Yes,7,3,7,7,1,7,18
203,34,0,Travel_Frequently,Research & Development,Medical,4,Male,3,1,3,Divorced,3815,Yes,5,4,5,3,2,0,10
204,40,0,Travel_Rarely,Research & Development,Medical,3,Male,3,2,4,Married,2741,Yes,15,4,7,2,3,7,19
205,38,1,Travel_Rarely,Research & Development,Medical,2,Male,3,2,1,Married,6673,Yes,17,3,1,0,0,0,29
206,29,1,Travel_Rarely,Sales,Marketing,2,Female,3,3,4,Married,7639,No,10,2,10,4,1,9,27
207,22,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,4,1,2,Divorced,2328,Yes,4,2,4,2,2,2,5
208,36,0,Travel_Frequently,Research & Development,Medical,2,Female,3,1,4,Single,2153,No,8,3,8,1,1,7,18
209,40,0,Non-Travel,Research & Development,Life Sciences,4,Male,2,2,4,Married,4876,No,5,1,3,2,0,2,9
210,46,0,Travel_Rarely,Research & Development,Medical,4,Male,3,3,1,Divorced,9396,No,17,3,4,2,0,3,1
211,32,1,Travel_Rarely,Sales,Medical,4,Male,1,3,4,Married,10400,No,14,2,14,8,9,8,4
212,30,0,Non-Travel,Research & Development,Life Sciences,3,Male,2,3,3,Single,8474,No,12,3,11,8,5,8,1
213,27,0,Travel_Frequently,Sales,Life Sciences,4,Female,3,2,3,Single,9981,No,7,3,7,7,0,7,20
214,51,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,2,3,2,Married,12490,No,16,1,10,9,4,7,8
215,30,1,Travel_Rarely,Research & Development,Technical Degree,4,Female,3,1,1,Single,2657,Yes,8,3,5,2,0,4,3
216,41,0,Travel_Rarely,Sales,Life Sciences,4,Female,3,3,4,Single,13591,Yes,16,3,1,0,0,0,6
217,30,1,Travel_Frequently,Sales,Marketing,3,Female,2,2,1,Single,6696,No,9,2,6,3,0,1,26
218,29,1,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,3,Single,2058,No,7,2,6,2,1,5,1
219,45,0,Non-Travel,Sales,Medical,4,Female,2,3,4,Single,8865,No,23,3,19,7,12,8,6
220,54,0,Travel_Rarely,Sales,Marketing,4,Female,3,2,1,Married,5940,No,16,3,6,2,0,5,3
221,36,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,2,2,Single,5914,No,16,4,13,11,3,7,5
222,33,0,Travel_Rarely,Research & Development,Medical,3,Female,2,1,2,Married,2622,No,7,3,3,2,1,1,4
223,37,0,Travel_Frequently,Research & Development,Other,2,Male,3,3,4,Divorced,12185,Yes,10,3,10,8,0,7,11
224,38,0,Travel_Rarely,Sales,Life Sciences,1,Male,3,3,3,Divorced,10609,No,17,2,16,10,5,13,3
225,31,0,Non-Travel,Research & Development,Medical,3,Male,1,2,3,Married,4345,No,6,3,5,4,1,4,1
226,59,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,1,4,Married,2177,No,7,3,1,0,0,0,3
227,37,0,Travel_Frequently,Sales,Marketing,1,Male,3,1,4,Divorced,2793,No,13,3,9,8,5,8,4
228,29,0,Travel_Frequently,Sales,Medical,2,Female,3,3,4,Married,7918,No,11,3,11,10,4,1,1
